country,year,msw_gen_t,msw_trt_t,gdp_meur,population,msw_data_flag,log_gdp,log_pop,log_msw
EE,2017,514000.0,492000.0,19175.9,1315635.0,reported,9.861409561248724,14.089829996774116,13.149978544437301
EE,2018,535000.0,505000.0,19885.4,1319133.0,reported,9.897741073104548,14.092485260581174,13.190022025878143
EE,2019,490000.0,458000.0,20626.4,1324820.0,reported,9.9343270876871,14.096787159117538,13.102160670086809
EE,2020,509000.0,440000.0,20031.6,1328889.0,reported,9.905066305649342,14.099853812762577,13.14020329553266
EE,2021,525000.0,518000.0,21685.2,1330068.0,reported,9.984385279192118,14.100740626710502,13.17115354157376
EE,2022,503000.0,445000.0,21837.3,1331796.0,reported,9.991374795842844,14.102038965200176,13.128345449081877
EE,2023,512000.0,464000.0,21197.1,1365884.0,reported,9.961619658850333,14.127312396034096,13.146079904021645
EL,2004,4782000.0,4781000.0,221684.0,,reported,12.309008223401495,,15.380369427000407
EL,2005,4853000.0,4867000.0,224307.6,,reported,12.320773603126431,,15.395107628387354
EL,2006,4927000.0,4927000.0,238760.7,,reported,12.383217074092663,,15.4102408415261
EL,2007,5002000.0,5002000.0,247133.7,,reported,12.417684764709083,,15.425348390419702
EL,2008,5077000.0,5078000.0,247275.7,,reported,12.418259187460368,,15.440231093929532
EL,2009,5154000.0,5154000.0,237089.8,,reported,12.376194251305257,,15.455283670194447
EL,2010,5917000.0,5917000.0,223590.5,,reported,12.317571532777317,,15.593340121658832
EL,2011,5586000.0,5586000.0,201507.0,,reported,12.213579399219569,,15.535774025487258
EL,2012,5463000.0,5463000.0,184719.1,,reported,12.126591571777443,,15.513508647377854
EL,2013,5284000.0,5284000.0,180522.1,,reported,12.103608486933323,,15.480193944624354
EL,2014,5315000.0,5315000.0,181952.2,,reported,12.111499294201064,,15.486043569758186
EL,2015,5277000.0,5277000.0,181536.8,10818041.0,reported,12.109213666955998,16.19672576138599,15.478868312387805
EL,2016,5367000.0,5367000.0,181479.1,10735415.0,reported,12.108895774541446,16.18905864714118,15.495779651158966
EL,2017,5415000.0,5415000.0,184152.5,10707527.0,reported,12.12351949767028,16.186457510065495,15.504683438417228
EL,2018,5523000.0,5523000.0,187954.7,10667336.0,reported,12.143956255330368,16.182696920127192,15.524431748883325
EL,2019,5613000.0,5613000.0,192234.8,10635213.0,reported,12.166472820523074,16.179681034624657,15.540595893924337
EL,2020,5335000.0,5335000.0,174556.4,10612591.0,reported,12.070003177572842,16.177551684358853,15.48979944271799
EL,2021,5381000.0,5381000.0,189663.4,10555344.0,reported,12.153006201093444,16.172142829922485,15.498384788471556
EL,2022,5420000.0,5420000.0,200136.6,10461627.0,reported,12.206755412391823,16.163224549438272,15.505606373415828
